gml_id,identifier,beginPosition,interpretation,sequenceNumber,correctionNumber,designator,type,usageDirection,connectedApron_href,connectedStand_href,connectedTaxiway_href,connectedRunwayCentrelinePoint_href
uuid.94d99978-ce66-4280-b546-6531997620cd,94d99978-ce66-4280-b546-6531997620cd,2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 5-7_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:9D24FC5C-C3C4-4DC5-ACE4-111CDECB7FD4"", ""urn:uuid:DA0EA43F-8467-4094-A7D2-3364D99C6EEF"", ""urn:uuid:3A7515A5-14AA-4909-8C10-4707961A1DEE"", ""urn:uuid:63767517-1EA2-4945-AB65-730F29975D63"", ""urn:uuid:601E673E-C2E0-442D-9606-09373A91BA9C"", ""urn:uuid:F2E9420C-0DE4-491C-A0B2-B94559F9F82B"" ]",,
uuid.ebe2e172-3da7-437f-9ffe-508ae7da72b4,ebe2e172-3da7-437f-9ffe-508ae7da72b4,2021-01-20T16:20:23.000Z,BASELINE,1,0,GL 1-7_APN N ,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:95942386-5B57-406D-A92E-6D13DED57D23"", ""urn:uuid:24A35340-C76D-40C8-977E-1CFEE73FBC74"", ""urn:uuid:D0C21AE9-CC9F-405B-BFDB-07F74AF1C95F"", ""urn:uuid:E84EAA52-0925-476B-AF66-D85E4E9325AB"", ""urn:uuid:F298CD84-B6E9-4257-8CC2-740F32CC6113"", ""urn:uuid:56627A19-5726-46F2-BB96-C975A536E58F"", ""urn:uuid:71ABE6FF-BB88-4E61-8838-D8F27C45527F"", ""urn:uuid:9D24FC5C-C3C4-4DC5-ACE4-111CDECB7FD4"", ""urn:uuid:DA0EA43F-8467-4094-A7D2-3364D99C6EEF"", ""urn:uuid:3A7515A5-14AA-4909-8C10-4707961A1DEE"", ""urn:uuid:63767517-1EA2-4945-AB65-730F29975D63"", ""urn:uuid:601E673E-C2E0-442D-9606-09373A91BA9C"", ""urn:uuid:F2E9420C-0DE4-491C-A0B2-B94559F9F82B"" ]",,
uuid.fe8a1562-64ae-49bd-a5d7-f616a77ac78e,fe8a1562-64ae-49bd-a5d7-f616a77ac78e,2022-11-30T11:32:44.000Z,BASELINE,1,0,GL 1_APN N,APRON,FORWARD,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:95942386-5B57-406D-A92E-6D13DED57D23"" ]",,
uuid.b2dec7b4-3c6f-456d-aaa9-d32795f1e7de,b2dec7b4-3c6f-456d-aaa9-d32795f1e7de,2021-01-20T16:20:23.000Z,BASELINE,1,0,GL 2_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:24A35340-C76D-40C8-977E-1CFEE73FBC74"", ""urn:uuid:D0C21AE9-CC9F-405B-BFDB-07F74AF1C95F"" ]",,
uuid.0e9c669c-63f0-4adb-a200-3b36de03e103,"0e9c669c-63f0-4adb-a200-3b36de03e103",2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 2-4_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:24A35340-C76D-40C8-977E-1CFEE73FBC74"", ""urn:uuid:D0C21AE9-CC9F-405B-BFDB-07F74AF1C95F"", ""urn:uuid:E84EAA52-0925-476B-AF66-D85E4E9325AB"", ""urn:uuid:F298CD84-B6E9-4257-8CC2-740F32CC6113"", ""urn:uuid:56627A19-5726-46F2-BB96-C975A536E58F"", ""urn:uuid:71ABE6FF-BB88-4E61-8838-D8F27C45527F"" ]",,
uuid.ff73334b-3542-45a9-a347-ce7048395b8d,ff73334b-3542-45a9-a347-ce7048395b8d,2021-01-20T16:20:22.000Z,BASELINE,1,0,"GL 1,2_APN N",APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:95942386-5B57-406D-A92E-6D13DED57D23"", ""urn:uuid:24A35340-C76D-40C8-977E-1CFEE73FBC74"", ""urn:uuid:D0C21AE9-CC9F-405B-BFDB-07F74AF1C95F"" ]",,
uuid.8bdde3df-b300-4951-802d-eb0a7eef7a86,8bdde3df-b300-4951-802d-eb0a7eef7a86,2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 4_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:56627A19-5726-46F2-BB96-C975A536E58F"", ""urn:uuid:71ABE6FF-BB88-4E61-8838-D8F27C45527F"" ]",,
uuid.7b673b7b-b5c9-418f-a3ac-c94a81322046,7b673b7b-b5c9-418f-a3ac-c94a81322046,2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 3-7_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:E84EAA52-0925-476B-AF66-D85E4E9325AB"", ""urn:uuid:F298CD84-B6E9-4257-8CC2-740F32CC6113"", ""urn:uuid:56627A19-5726-46F2-BB96-C975A536E58F"", ""urn:uuid:71ABE6FF-BB88-4E61-8838-D8F27C45527F"", ""urn:uuid:9D24FC5C-C3C4-4DC5-ACE4-111CDECB7FD4"", ""urn:uuid:DA0EA43F-8467-4094-A7D2-3364D99C6EEF"", ""urn:uuid:3A7515A5-14AA-4909-8C10-4707961A1DEE"", ""urn:uuid:63767517-1EA2-4945-AB65-730F29975D63"", ""urn:uuid:601E673E-C2E0-442D-9606-09373A91BA9C"", ""urn:uuid:F2E9420C-0DE4-491C-A0B2-B94559F9F82B"" ]",,
uuid.35f0f2f0-028b-4595-853d-ede0c3eb6f52,35f0f2f0-028b-4595-853d-ede0c3eb6f52,2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 1-4_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:95942386-5B57-406D-A92E-6D13DED57D23"", ""urn:uuid:24A35340-C76D-40C8-977E-1CFEE73FBC74"", ""urn:uuid:D0C21AE9-CC9F-405B-BFDB-07F74AF1C95F"", ""urn:uuid:E84EAA52-0925-476B-AF66-D85E4E9325AB"", ""urn:uuid:F298CD84-B6E9-4257-8CC2-740F32CC6113"", ""urn:uuid:56627A19-5726-46F2-BB96-C975A536E58F"", ""urn:uuid:71ABE6FF-BB88-4E61-8838-D8F27C45527F"" ]",,
uuid.98ec1575-3c25-43bd-961e-5a916af3368a,98ec1575-3c25-43bd-961e-5a916af3368a,2021-01-20T16:20:22.000Z,BASELINE,1,0,GL 3_APN N,APRON,BOTH,urn:uuid:B0738653-7046-419B-BEEA-2A08721D7803,"[ ""urn:uuid:E84EAA52-0925-476B-AF66-D85E4E9325AB"", ""urn:uuid:F298CD84-B6E9-4257-8CC2-740F32CC6113"" ]",,
